method	mean	std	reference	key	model	contrast	FDR
seurat	0.9319708385015154	0.08105125995316172	anterior cingulate cortex	family	weighted_f1 ~ study + reference + method + reference:method	reference[anterior cingulate cortex]:method[scvi]	8.683651207570073e-15
scvi	0.85700055696458	0.09893162829169988	anterior cingulate gyrus	family	weighted_f1 ~ study + reference + method + reference:method	reference[anterior cingulate gyrus]:method[scvi]	0.0
seurat	0.9259389503961057	0.08161851178144922	anterior cingulate gyrus	family	weighted_f1 ~ study + reference + method + reference:method	reference[anterior cingulate gyrus]:method[scvi]	0.0
scvi	0.9549409504387245	0.07734297339009502	dorsolateral prefrontal cortex	family	weighted_f1 ~ study + reference + method + reference:method	reference[dorsolateral prefrontal cortex]:method[scvi]	1.2495535968974336e-06
seurat	0.9376482992515667	0.07846525795354135	dorsolateral prefrontal cortex	family	weighted_f1 ~ study + reference + method + reference:method	reference[dorsolateral prefrontal cortex]:method[scvi]	1.2495535968974336e-06
scvi	0.9532174240362394	0.08168639694486245	middle temporal gyrus	family	weighted_f1 ~ study + reference + method + reference:method	reference[middle temporal gyrus]:method[scvi]	4.988128364339392e-43
seurat	0.9193709943425258	0.08468275791553724	middle temporal gyrus	family	weighted_f1 ~ study + reference + method + reference:method	reference[middle temporal gyrus]:method[scvi]	4.988128364339392e-43
scvi	0.951844282558125	0.08501755803272562	primary auditory cortex	family	weighted_f1 ~ study + reference + method + reference:method	reference[primary auditory cortex]:method[scvi]	3.974729050117034e-05
seurat	0.9359213820354745	0.08372643836819584	primary auditory cortex	family	weighted_f1 ~ study + reference + method + reference:method	reference[primary auditory cortex]:method[scvi]	3.974729050117034e-05
scvi	0.9219899290929519	0.06332685275491771	primary motor cortex	family	weighted_f1 ~ study + reference + method + reference:method	reference[primary motor cortex]:method[scvi]	1.5166827738597522e-66
seurat	0.9461406653289078	0.06685528450297955	primary motor cortex	family	weighted_f1 ~ study + reference + method + reference:method	reference[primary motor cortex]:method[scvi]	1.5166827738597522e-66
scvi	0.955233561126796	0.07717181899887146	primary somatosensory cortex	family	weighted_f1 ~ study + reference + method + reference:method	reference[primary somatosensory cortex]:method[scvi]	8.941824052774755e-31
seurat	0.9255199377251427	0.08579159464061663	primary somatosensory cortex	family	weighted_f1 ~ study + reference + method + reference:method	reference[primary somatosensory cortex]:method[scvi]	8.941824052774755e-31
scvi	0.9578281560710067	0.07152733796731858	primary visual cortex	family	weighted_f1 ~ study + reference + method + reference:method	reference[primary visual cortex]:method[scvi]	1.0965476714288202e-09
seurat	0.9382729655528904	0.07564086286825498	primary visual cortex	family	weighted_f1 ~ study + reference + method + reference:method	reference[primary visual cortex]:method[scvi]	1.0965476714288202e-09
scvi	0.9544658556613594	0.07902710834824922	whole cortex	family	weighted_f1 ~ study + reference + method + reference:method	reference[whole cortex]:method[scvi]	1.1645681292211106e-88
seurat	0.9142373628761944	0.08523490231460976	whole cortex	family	weighted_f1 ~ study + reference + method + reference:method	reference[whole cortex]:method[scvi]	1.1645681292211106e-88
scvi	0.8835075435435882	0.09329959987512276	Dissection Anterior cingulate cortex ACC	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Anterior cingulate cortex ACC]:method[scvi]	6.38222375664976e-20
seurat	0.8701580163025339	0.08794950569962873	Dissection Anterior cingulate cortex ACC	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Anterior cingulate cortex ACC]:method[scvi]	6.38222375664976e-20
scvi	0.8440168097140107	0.11327329213377792	Dissection Dorsolateral prefrontal cortex DFC	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Dorsolateral prefrontal cortex DFC]:method[scvi]	3.3548133728428976e-42
seurat	0.8568023475344637	0.08786200127376467	Dissection Dorsolateral prefrontal cortex DFC	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Dorsolateral prefrontal cortex DFC]:method[scvi]	3.3548133728428976e-42
scvi	0.8789988540925391	0.09919485357669884	Dissection Primary auditory cortexA1	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary auditory cortexA1]:method[scvi]	0.1060215088058319
seurat	0.8743313255478747	0.08942790607190287	Dissection Primary auditory cortexA1	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary auditory cortexA1]:method[scvi]	0.1060215088058319
scvi	0.8806658954891469	0.09736638962083166	Dissection Primary somatosensory cortex S1	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary somatosensory cortex S1]:method[scvi]	2.0333334038473423e-05
seurat	0.8733819356220516	0.09050393209453385	Dissection Primary somatosensory cortex S1	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary somatosensory cortex S1]:method[scvi]	2.0333334038473423e-05
scvi	0.8819382709930592	0.09169958774559235	Dissection Primary visual cortexV1	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary visual cortexV1]:method[scvi]	0.0025435030485762
seurat	0.876267212184138	0.09201791088160399	Dissection Primary visual cortexV1	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Dissection Primary visual cortexV1]:method[scvi]	0.0025435030485762
scvi	0.882360156349442	0.08998804662669127	Human Multiple Cortical Areas SMART-seq	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Human Multiple Cortical Areas SMART-seq]:method[scvi]	3.341005639076708e-121
seurat	0.8536265532367779	0.09821944581552876	Human Multiple Cortical Areas SMART-seq	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Human Multiple Cortical Areas SMART-seq]:method[scvi]	3.341005639076708e-121
scvi	0.8826471272370703	0.09634483495238563	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD]:method[scvi]	9.32429507988391e-11
seurat	0.8723003751194877	0.0868983186374789	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD]:method[scvi]	9.32429507988391e-11
scvi	0.8814326676133405	0.09714848375234629	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD]:method[scvi]	1.9604631377889397e-38
seurat	0.8629399099513752	0.08774837183496424	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD]:method[scvi]	1.9604631377889397e-38
scvi	0.8802334854879189	0.10015191453372811	angular gyrus	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[angular gyrus]:method[scvi]	0.9999999999999876
seurat	0.8777799261726207	0.08950226775323238	angular gyrus	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[angular gyrus]:method[scvi]	0.9999999999999876
scvi	0.8835075435435882	0.09329959987512276	anterior cingulate cortex	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[anterior cingulate cortex]:method[scvi]	6.38222375664976e-20
seurat	0.8701580163025339	0.08794950569962855	anterior cingulate cortex	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[anterior cingulate cortex]:method[scvi]	6.38222375664976e-20
scvi	0.7525882039664977	0.1334788250782971	anterior cingulate gyrus	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[anterior cingulate gyrus]:method[scvi]	0.0
seurat	0.807412378686178	0.13083051991762315	anterior cingulate gyrus	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[anterior cingulate gyrus]:method[scvi]	0.0
scvi	0.8827702789711352	0.09613073309415521	dorsolateral prefrontal cortex	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[dorsolateral prefrontal cortex]:method[scvi]	1.7884171913770499e-10
seurat	0.8731731744384479	0.08504199474179677	dorsolateral prefrontal cortex	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[dorsolateral prefrontal cortex]:method[scvi]	1.7884171913770499e-10
scvi	0.8813900660575311	0.09829250224170002	middle temporal gyrus	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[middle temporal gyrus]:method[scvi]	0.0
seurat	0.8027909002444529	0.11589618487673264	middle temporal gyrus	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[middle temporal gyrus]:method[scvi]	0.0
scvi	0.8794650379062815	0.09903056377223775	primary auditory cortex	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[primary auditory cortex]:method[scvi]	8.761079816099147e-263
seurat	0.8356937672041013	0.11539521896379994	primary auditory cortex	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[primary auditory cortex]:method[scvi]	8.761079816099147e-263
scvi	0.8436329267394793	0.09114291036402947	primary motor cortex	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[primary motor cortex]:method[scvi]	3.816933004943146e-22
seurat	0.8538202923365075	0.10423331440708292	primary motor cortex	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[primary motor cortex]:method[scvi]	3.816933004943146e-22
scvi	0.8828586384043251	0.0945433949599259	primary somatosensory cortex	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[primary somatosensory cortex]:method[scvi]	0.0
seurat	0.8220076358151936	0.10485024786327404	primary somatosensory cortex	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[primary somatosensory cortex]:method[scvi]	0.0
scvi	0.8827525578390651	0.09068935520771378	primary visual cortex	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[primary visual cortex]:method[scvi]	0.0
seurat	0.8249887138695866	0.10867853786030836	primary visual cortex	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[primary visual cortex]:method[scvi]	0.0
scvi	0.8828719926715498	0.09614330110500767	whole cortex	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[whole cortex]:method[scvi]	0.0
seurat	0.7960526136235416	0.12753322766840686	whole cortex	subclass	weighted_f1 ~ study + reference + method + reference:method	reference[whole cortex]:method[scvi]	0.0
