reference						Dissection Angular gyrus AnG	Dissection Anterior cingulate cortex ACC	Dissection Dorsolateral prefrontal cortex DFC	Dissection Primary auditory cortexA1	Dissection Primary somatosensory cortex S1	Dissection Primary visual cortexV1	Human Multiple Cortical Areas SMART-seq	Single-nucleus transcriptome data from the dlPFC	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	whole cortex
CMC 1203027	CMC	None	late adult	control	subclass	0.9557053315087608	0.9706558265582657	0.9706558265582657	0.9557053315087608	0.9706558265582657	0.977322493224932	0.8898620689655172	0.9583719981754272	0.9733224932249324	0.9683719981754272	0.9683719981754272
CMC 1203029	CMC	None	late adult	control	class	0.990943820224719	0.990943820224719	0.990943820224719	0.990943820224719	0.990943820224719	0.990943820224719	0.8284853510226644	0.990943820224719	0.990943820224719	0.990943820224719	0.990943820224719
CMC 1203029	CMC	None	late adult	control	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203029	CMC	None	late adult	control	subclass	0.9749438202247191	0.9749438202247191	0.9749438202247191	0.9749438202247191	0.9749438202247191	0.9749438202247191	0.8255223880597015	0.9749438202247191	0.9749438202247191	0.9749438202247191	0.9749438202247191
CMC 1203030	CMC	None	late adult	Schizophrenia	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203030	CMC	None	late adult	Schizophrenia	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203030	CMC	None	late adult	Schizophrenia	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203031	CMC	None	late adult	control	class	1.0	1.0	1.0	1.0	1.0	1.0	0.567374149659864	1.0	1.0	1.0	1.0
CMC 1203031	CMC	None	late adult	control	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203031	CMC	None	late adult	control	subclass	0.971904761904762	0.971904761904762	0.971904761904762	0.971904761904762	0.971904761904762	0.9933333333333332	0.5908286951144095	0.9887878787878788	0.9887878787878788	0.9887878787878788	0.9933333333333332
CMC 1203033	CMC	None	adult	control	class	0.99	0.9793383458646616	0.9704347826086956	0.99	0.99	0.99	0.7797398720682303	1.0	0.99	0.99	1.0
CMC 1203033	CMC	None	adult	control	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203033	CMC	None	adult	control	subclass	0.9713333333333332	0.9563859649122808	0.9523333333333333	0.9713333333333332	0.9713333333333332	0.9713333333333332	0.7451424694708276	0.9714285714285714	0.99	0.99	0.9905454545454544
CMC 1203034	CMC	None	late adult	control	class	0.9851162790697674	0.9851162790697674	0.9633333333333332	0.9851162790697674	0.9755555555555556	0.9851162790697674	0.6831446834139612	0.9851162790697674	0.9755555555555556	0.9851162790697674	0.9755555555555556
CMC 1203034	CMC	None	late adult	control	family	1.0	1.0	1.0	1.0	0.990059249506254	1.0	1.0	1.0	0.990059249506254	1.0	0.990059249506254
CMC 1203034	CMC	None	late adult	control	subclass	0.966080586080586	0.9581282051282052	0.9386837606837608	0.9653504273504274	0.954959373959374	0.968959373959374	0.6917155067155067	0.9252820512820512	0.9441282051282052	0.968959373959374	0.9427948717948718
CMC 1203036	CMC	None	late adult	control	class	1.0	1.0	0.9704545454545456	1.0	1.0	1.0	0.6339	1.0	1.0	1.0	1.0
CMC 1203036	CMC	None	late adult	control	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203036	CMC	None	late adult	control	subclass	0.9894545454545456	0.98	0.9613333333333332	1.0	0.9894545454545456	1.0	0.6251666666666666	0.9614285714285714	0.9783333333333332	0.9783333333333332	0.99
CMC 1203037	CMC	None	late adult	Schizophrenia	class	0.9427666100836832	0.9427666100836832	0.9448974061169182	0.9427666100836832	0.9427666100836832	0.9427666100836832	0.7894890873015874	0.9427666100836832	0.9427666100836832	0.9427666100836832	0.9448974061169182
CMC 1203037	CMC	None	late adult	Schizophrenia	family	0.9900693196405648	0.9900693196405648	1.0	0.9900693196405648	0.9900693196405648	0.9900693196405648	0.9802634245187436	0.9900693196405648	0.9900693196405648	0.9900693196405648	1.0
CMC 1203037	CMC	None	late adult	Schizophrenia	subclass	0.9335518627713748	0.9255005807200928	0.9126778152502684	0.9335958188153308	0.9335518627713748	0.9255005807200928	0.743235119047619	0.868833914053426	0.9001672473867595	0.8865828318023438	0.9172321824516944
CMC 1203038	CMC	None	adult	Schizophrenia	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203038	CMC	None	adult	Schizophrenia	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203038	CMC	None	adult	Schizophrenia	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203039	CMC	None	late adult	control	class	1.0	1.0	0.9866666666666666	1.0	1.0	1.0	0.638961038961039	1.0	1.0	1.0	1.0
CMC 1203039	CMC	None	late adult	control	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203039	CMC	None	late adult	control	subclass	0.9537948717948715	0.9597142857142856	0.9404615384615382	0.9684615384615384	0.9684615384615384	0.9684615384615384	0.5757792207792208	0.9145	0.9684615384615384	0.97	0.9684615384615384
CMC 1203040	CMC	None	late adult	control	class	1.0	0.99010101010101	1.0	1.0	1.0	1.0	0.85375	1.0	0.990508826583593	1.0	1.0
CMC 1203040	CMC	None	late adult	control	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9901913662661326	1.0	1.0
CMC 1203040	CMC	None	late adult	control	subclass	0.9723333333333336	0.9740000000000002	0.9575964912280702	0.9706666666666668	0.9620000000000002	0.9673333333333336	0.8376785714285714	0.9673333333333336	0.9530476190476193	0.9673333333333336	0.9673333333333336
CMC 1203041	CMC	None	late adult	control	class	0.9799813239261258	0.9799813239261258	0.9476680327868852	0.9799813239261258	0.9656956096404116	0.9799813239261258	0.7869530732181521	0.9899813239261256	0.99	0.9799813239261258	0.99
CMC 1203041	CMC	None	late adult	control	family	0.9900101820033091	0.9900101820033091	0.9900101820033091	0.9900101820033091	0.9900101820033091	0.9900101820033091	0.9900101820033091	0.9900101820033091	1.0	0.9900101820033091	1.0
CMC 1203041	CMC	None	late adult	control	subclass	0.942396624472574	0.9697299578059072	0.9100833333333334	0.942396624472574	0.9281109101868598	0.9697299578059072	0.7565207547169811	0.9650632911392404	0.9713333333333334	0.9712803454028064	0.9713333333333334
CMC 1203042	CMC	None	late adult	Schizophrenia	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203042	CMC	None	late adult	Schizophrenia	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203042	CMC	None	late adult	Schizophrenia	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203043	CMC	None	late adult	control	class	0.955090909090909	0.955090909090909	0.895090909090909	0.955090909090909	0.9448051948051948	0.955090909090909	0.6603206311555715	0.955090909090909	0.955090909090909	0.955090909090909	0.955090909090909
CMC 1203043	CMC	None	late adult	control	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203043	CMC	None	late adult	control	subclass	0.9547058823529412	0.9547058823529412	0.8742857142857143	0.9342857142857144	0.9384642857142858	0.94875	0.684939024390244	0.96	0.96	0.96	0.96
CMC 1203044	CMC	None	late adult	Schizophrenia	class	0.99	0.99	0.9850495049504951	0.99	0.99	0.99	0.7345590994371481	1.0	0.99	0.99	1.0
CMC 1203044	CMC	None	late adult	Schizophrenia	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203044	CMC	None	late adult	Schizophrenia	subclass	0.9055555555555554	0.9404444444444444	0.902	0.9055555555555554	0.92	0.95	0.7335975609756098	0.9316666666666664	0.95	0.95	0.9455555555555556
CMC 1203045	CMC	None	late adult	Schizophrenia	class	0.9683076923076924	0.9646148290804044	0.9646969696969696	0.9746969696969696	0.9746969696969696	0.9683076923076924	0.7802380952380952	0.9846969696969696	0.9746969696969696	0.9746969696969696	0.9846969696969696
CMC 1203045	CMC	None	late adult	Schizophrenia	family	1.0	0.9900071313959709	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203045	CMC	None	late adult	Schizophrenia	subclass	0.9557879274223332	0.9505646549128828	0.9381370203583826	0.9611772048116106	0.9697279294492916	0.9557879274223332	0.6820179271708683	0.9649279294492916	0.9611772048116106	0.9697279294492916	0.9797279294492915
CMC 1203046	CMC	None	late adult	Schizophrenia	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203046	CMC	None	late adult	Schizophrenia	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203046	CMC	None	late adult	Schizophrenia	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203047	CMC	None	late adult	control	class	1.0	0.9866666666666668	0.98	0.9866666666666668	1.0	1.0	0.6977926421404682	1.0	0.9866666666666668	0.9866666666666668	0.9866666666666668
CMC 1203047	CMC	None	late adult	control	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203047	CMC	None	late adult	control	subclass	0.986	0.9776190476190476	0.970952380952381	0.9776190476190476	0.990952380952381	1.0	0.6983076923076922	0.9855555555555556	0.9722222222222224	0.9722222222222224	0.9866666666666668
CMC 1203048	CMC	None	late adult	Schizophrenia	class	0.9799724137931036	0.9683484821691718	0.9751724137931036	0.9799724137931036	0.9799724137931036	0.9799724137931036	0.6546835249042146	0.9899724137931036	0.9799724137931036	0.9799724137931036	0.9899724137931036
CMC 1203048	CMC	None	late adult	Schizophrenia	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203048	CMC	None	late adult	Schizophrenia	subclass	0.9325714285714288	0.9276141636141636	0.8978095238095238	0.9325714285714288	0.9325714285714288	0.9325714285714288	0.6380957264957265	0.9316031027795734	0.92	0.9325714285714288	0.9425714285714286
CMC 1203049	CMC	None	late adult	control	class	1.0	1.0	0.9901688476150275	1.0	1.0	1.0	0.7147648902821316	1.0	1.0	1.0	1.0
CMC 1203049	CMC	None	late adult	control	family	1.0	1.0	0.9900943134535368	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203049	CMC	None	late adult	control	subclass	1.0	1.0	0.9852631578947368	1.0	1.0	1.0	0.7100280481768685	0.9866666666666666	1.0	1.0	1.0
CMC 1203050	CMC	None	late adult	Schizophrenia	class	0.989781887150308	0.989781887150308	1.0	0.990954128440367	1.0	1.0	0.6420332480818415	0.990954128440367	0.989781887150308	0.983148148148148	0.9550333380621364
CMC 1203050	CMC	None	late adult	Schizophrenia	family	0.9899215270413574	0.9899215270413574	1.0	1.0	1.0	1.0	1.0	1.0	0.9899215270413574	1.0	0.9701800880263516
CMC 1203050	CMC	None	late adult	Schizophrenia	subclass	0.9448783783783784	0.9507263315947524	0.9405714285714286	0.9506354149900744	0.97015873015873	0.9556812865497076	0.5791830065359477	0.9221354149900748	0.937281887150308	0.9222592592592592	0.9245492110780096
CMC 1203051	CMC	None	late adult	Schizophrenia	class	0.9894771241830064	0.9894771241830064	0.9894771241830064	0.9894771241830064	0.9894771241830064	0.9894771241830064	0.5142424242424243	0.9894771241830064	0.9894771241830064	0.9894771241830064	0.9894771241830064
CMC 1203051	CMC	None	late adult	Schizophrenia	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203051	CMC	None	late adult	Schizophrenia	subclass	0.985032679738562	0.985032679738562	0.985032679738562	0.985032679738562	0.985032679738562	0.985032679738562	0.5566666666666668	0.985032679738562	0.985032679738562	0.985032679738562	0.985032679738562
CMC 1203052	CMC	None	late adult	control	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203052	CMC	None	late adult	control	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203052	CMC	None	late adult	control	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
CMC 1203053	CMC	None	late adult	Schizophrenia	class	1.0	1.0	1.0	1.0	1.0	1.0	0.7422713236807794	1.0	1.0	1.0	1.0
CMC 1203053	CMC	None	late adult	Schizophrenia	family	1.0	1.0	1.0	1.0	1.0	1.0	0.9901658449125952	1.0	1.0	1.0	1.0
CMC 1203053	CMC	None	late adult	Schizophrenia	subclass	0.9757142857142856	0.9757142857142856	0.941904761904762	0.9693333333333332	0.9757142857142856	0.965047619047619	0.7584907183212266	0.9757142857142856	0.9757142857142856	0.9757142857142856	0.965047619047619
CMC 1203054	CMC	None	late adult	Schizophrenia	class	0.990148148148148	0.990148148148148	0.990148148148148	0.990148148148148	0.990148148148148	0.990148148148148	0.6986228269085412	0.990148148148148	0.990148148148148	0.990148148148148	0.990148148148148
CMC 1203054	CMC	None	late adult	Schizophrenia	family	0.9900714179437584	0.9900714179437584	0.9900714179437584	0.9900714179437584	0.9900714179437584	0.9900714179437584	0.9900714179437584	0.9900714179437584	0.9900714179437584	0.9900714179437584	0.9900714179437584
CMC 1203054	CMC	None	late adult	Schizophrenia	subclass	0.9676043216043216	0.9836296296296296	0.9536043216043216	0.9676043216043216	0.9676043216043216	0.9729889369889372	0.7026977427334571	0.9683222703222704	0.9683222703222704	0.9683222703222704	0.9683222703222704
CMC 1203057	CMC	None	late adult	control	class	0.9895913261050876	0.9895913261050876	0.99	1.0	0.9895913261050876	1.0	0.6513300165837479	1.0	0.9895913261050876	0.9895913261050876	0.9831446540880502
CMC 1203057	CMC	None	late adult	control	family	0.98988295746503	0.98988295746503	1.0	1.0	0.98988295746503	1.0	1.0	1.0	0.98988295746503	0.98988295746503	1.0
CMC 1203057	CMC	None	late adult	control	subclass	0.9737517539125744	0.9737517539125744	0.9747058823529412	0.9847058823529412	0.9737517539125744	0.9947058823529412	0.6452665245202559	0.981372549019608	0.9737517539125744	0.970418420579241	0.974517203107658
CMC 1203058	CMC	None	late adult	Schizophrenia	class	0.9668338907469344	0.9668338907469344	0.9541672240802676	0.9668338907469344	0.9668338907469344	0.9668338907469344	0.6781519109820997	0.9768338907469344	0.9668338907469344	0.9668338907469344	0.9768338907469344
CMC 1203058	CMC	None	late adult	Schizophrenia	family	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203058	CMC	None	late adult	Schizophrenia	subclass	0.9336507936507936	0.9469841269841268	0.9186507936507936	0.9469841269841268	0.9336507936507936	0.9369841269841268	0.6382911051212937	0.9305194805194804	0.9469841269841268	0.9469841269841268	0.9436507936507936
CMC 1203059	CMC	None	late adult	Schizophrenia	class	0.917157894736842	0.9258055555555555	0.9078055555555556	0.917157894736842	0.9258055555555555	0.9155798748788438	0.7853846153846153	0.9718947368421051	0.9258055555555555	0.9347277137659188	0.9618055555555556
CMC 1203059	CMC	None	late adult	Schizophrenia	family	1.0	1.0	1.0	1.0	1.0	0.9898582930756844	1.0	1.0	1.0	1.0	1.0
CMC 1203059	CMC	None	late adult	Schizophrenia	subclass	0.8765438596491228	0.8765320512820515	0.8579166666666667	0.8701802232854864	0.8755530303030303	0.8707119650109341	0.783551282051282	0.892859649122807	0.8819166666666668	0.8808150577944392	0.912202380952381
CMC 1203060	CMC	None	late adult	control	class	0.9901348198081412	0.9901348198081412	0.9550735171261489	0.9901348198081412	0.9901348198081412	0.9791724137931036	0.6300083688492832	0.9791724137931036	0.9901348198081412	0.9901348198081412	0.976134819808141
CMC 1203060	CMC	None	late adult	control	family	0.9900751398880896	0.9900751398880896	0.9800654780523408	0.9900751398880896	0.9900751398880896	0.9900751398880896	0.9900751398880896	0.9900751398880896	0.9900751398880896	0.9900751398880896	0.9900751398880896
CMC 1203060	CMC	None	late adult	control	subclass	0.9771290726817042	0.9824624060150376	0.944406850459482	0.9771290726817042	0.9949624060150376	0.9691111111111111	0.6612359550561797	0.9746666666666668	0.9824624060150376	0.9949624060150376	0.9809624060150376
CMC 1203061	CMC	None	late adult	control	class	0.9896669310071372	0.9896669310071372	0.9896669310071372	0.9896669310071372	0.9896669310071372	0.9896669310071372	0.6515137493389741	0.9896669310071372	0.9896669310071372	0.9896669310071372	0.9896669310071372
CMC 1203061	CMC	None	late adult	control	family	1.0	1.0	1.0	1.0	1.0	1.0	0.9900418477386126	1.0	1.0	1.0	1.0
CMC 1203061	CMC	None	late adult	control	subclass	0.9549816163218224	0.9559606373008436	0.9500599497530972	0.965884879725086	0.9650515463917526	0.9651214764616828	0.6409416198555543	0.9375130848532912	0.9651214764616828	0.9651214764616828	0.9651214764616828
CMC 1203062	CMC	None	late adult	control	class	0.96370478224293	0.972201514269074	0.9710985730926034	0.972201514269074	0.972201514269074	0.9710985730926034	0.5868900836320191	0.972201514269074	0.9619607843137256	0.972201514269074	0.9554848297213624
CMC 1203062	CMC	None	late adult	control	family	0.9898905016552076	1.0	0.990100122100122	1.0	1.0	0.990100122100122	0.980383141762452	1.0	0.9898905016552076	1.0	0.9898905016552076
CMC 1203062	CMC	None	late adult	control	subclass	0.9102211221122112	0.9312211221122112	0.921887788778878	0.9365544554455444	0.921887788778878	0.921887788778878	0.5902419354838709	0.9143120312031204	0.9069411764705884	0.9092211221122112	0.9048666666666666
CMC 1203063	CMC	None	late adult	Schizophrenia	class	0.9474209245742092	0.9474209245742092	0.91237793764988	0.9474209245742092	0.9474209245742092	0.9474209245742092	0.6410501238803126	0.9474209245742092	0.9474209245742092	0.9474209245742092	0.9474209245742092
CMC 1203063	CMC	None	late adult	Schizophrenia	family	1.0	1.0	0.9794155844155844	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CMC 1203063	CMC	None	late adult	Schizophrenia	subclass	0.9334209245742092	0.9334209245742092	0.89357793764988	0.9334209245742092	0.9334209245742092	0.9334209245742092	0.6682828282828283	0.920087591240876	0.920087591240876	0.920087591240876	0.9334209245742092
