reference								Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	Adult mouse cortical cell taxonomy revealed by single cell transcriptomics	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	Single-cell RNA-seq for all cortical  hippocampal regions 10x	Single-cell RNA-seq for all cortical  hippocampal regions 10x	Single-cell RNA-seq for all cortical  hippocampal regions 10x	Single-cell RNA-seq for all cortical  hippocampal regions 10x	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	whole cortex	whole cortex	whole cortex	whole cortex
GSE152715.1 1051991	GSE152715.1	female	None	Hnrnpu+/+	C57BL/6NJ	None	family	0.8213203261383181	nan	0.8560358615567102	nan	0.8742798205711337	0.8696159621942234	nan	0.8405868794533363	nan	0.8433043088249799	nan	0.8140672660419522	0.7683180237200785	nan	0.8601759377520398	0.8709289308476735	0.8359642105279503	nan
GSE152715.1 1051991	GSE152715.1	female	None	Hnrnpu+/+	C57BL/6NJ	None	global	0.8659347180228126	nan	0.901954262746218	nan	0.9347046457668018	0.932911822174322	nan	0.9183226369129898	nan	0.9165521318270864	nan	0.8895965438170178	0.8380354736142881	nan	0.9384106825072982	0.9161056235682664	0.9108733874099008	nan
GSE152715.1 1051991	GSE152715.1	female	None	Hnrnpu+/+	C57BL/6NJ	None	subclass	0.7210556653241988	nan	0.7415820181259327	nan	0.7528156184328569	0.7517184342894081	nan	0.7797312720948021	nan	0.7640597449254212	nan	0.7392875453250785	0.7142840391984824	nan	0.7830343059292952	0.8375363435009319	0.7513325755751414	nan
GSE152715.1 1051992	GSE152715.1	male	None	Hnrnpu+/-	C57BL/6NJ	None	class	nan	nan	0.7564672002073072	nan	nan	0.7652907402998232	nan	nan	nan	0.8291683239998685	nan	nan	0.7654900553476657	nan	nan	nan	0.8191058683840866	nan
GSE152715.1 1051992	GSE152715.1	male	None	Hnrnpu+/-	C57BL/6NJ	None	family	nan	nan	0.8677416198400386	nan	nan	0.8739664197228569	nan	nan	nan	0.8582080561463715	nan	nan	0.7844899539660277	nan	nan	nan	0.8525761965451071	nan
GSE152715.1 1051992	GSE152715.1	male	None	Hnrnpu+/-	C57BL/6NJ	None	global	nan	nan	0.907193385463904	nan	nan	0.9262455299823809	nan	nan	nan	0.9150585346812236	nan	nan	0.8377867740824345	nan	nan	nan	0.9114550368518568	nan
GSE152715.1 1051992	GSE152715.1	male	None	Hnrnpu+/-	C57BL/6NJ	None	subclass	nan	nan	0.7484556484279041	nan	nan	0.7455230678688097	nan	nan	nan	0.767108255405102	nan	nan	0.7272901451339638	nan	nan	nan	0.7480057944483551	nan
GSE152715.2 1052248	GSE152715.2	female	None	Hnrnpu+/+	C57BL/6NJ	None	class	nan	nan	0.1588523451983031	nan	nan	0.1748993226395034	nan	nan	nan	0.5407639239398938	nan	nan	0.4582020291599567	nan	nan	nan	0.4913569566450189	nan
GSE152715.2 1052248	GSE152715.2	female	None	Hnrnpu+/+	C57BL/6NJ	None	family	nan	nan	0.7625883274293642	nan	nan	0.7241697244556213	nan	nan	nan	0.6779678377719388	nan	nan	0.6337412009923458	nan	nan	nan	0.6850081124895118	nan
GSE152715.2 1052248	GSE152715.2	female	None	Hnrnpu+/+	C57BL/6NJ	None	global	nan	nan	0.9521173459242572	nan	nan	0.977052590299054	nan	nan	nan	0.9485253599203688	nan	nan	0.8841288241496081	nan	nan	nan	0.9334529321315868	nan
GSE152715.2 1052248	GSE152715.2	female	None	Hnrnpu+/+	C57BL/6NJ	None	subclass	nan	nan	0.1542665980859746	nan	nan	0.165739425679925	nan	nan	nan	0.3006431280418373	nan	nan	0.1950404651646644	nan	nan	nan	0.3479713494454752	nan
GSE152715.2 1052351	GSE152715.2	male	None	Hnrnpu+/+	C57BL/6NJ	None	class	nan	nan	0.1961099059599799	nan	nan	0.2069112972885788	nan	nan	nan	nan	nan	nan	0.4579795521549223	nan	nan	nan	0.474973867802087	nan
GSE152715.2 1052351	GSE152715.2	male	None	Hnrnpu+/+	C57BL/6NJ	None	family	nan	nan	0.7488842470389883	nan	nan	0.7110957315071572	nan	nan	nan	nan	nan	nan	0.6142257179047452	nan	nan	nan	0.6665075749236989	nan
GSE152715.2 1052351	GSE152715.2	male	None	Hnrnpu+/+	C57BL/6NJ	None	global	nan	nan	0.9582802441908862	nan	nan	0.9732942460498082	nan	nan	nan	nan	nan	nan	0.8635187164392168	nan	nan	nan	0.9263006490761752	nan
GSE152715.2 1052351	GSE152715.2	male	None	Hnrnpu+/+	C57BL/6NJ	None	subclass	nan	nan	0.1914352104027852	nan	nan	0.1961922664098787	nan	nan	nan	nan	nan	nan	0.2207372833681783	nan	nan	nan	0.3568773946995773	nan
GSE152715.2 1052352	GSE152715.2	male	None	Hnrnpu+/-	C57BL/6NJ	None	class	nan	nan	0.2034564537919069	nan	nan	0.2104231900988602	nan	nan	0.4537250046159791	0.5011989146420929	nan	nan	0.4382990043799186	nan	nan	0.5345715518831033	0.4574316246598391	nan
GSE152715.2 1052352	GSE152715.2	male	None	Hnrnpu+/-	C57BL/6NJ	None	family	nan	nan	0.7165319464476	nan	nan	0.6668117499773367	nan	nan	0.7702719212683488	0.6274750989120582	nan	nan	0.5765096023732638	nan	nan	0.6821861048467573	0.6246109638118462	nan
GSE152715.2 1052352	GSE152715.2	male	None	Hnrnpu+/-	C57BL/6NJ	None	global	nan	nan	0.9593478468034068	nan	nan	0.9671579408940736	nan	nan	0.95884885775546	0.9429583696634306	nan	nan	0.8770050324515545	nan	nan	0.8552872114326282	0.9269164324577728	nan
GSE152715.2 1052352	GSE152715.2	male	None	Hnrnpu+/-	C57BL/6NJ	None	subclass	nan	nan	0.1991491013383683	nan	nan	0.202397440610812	nan	nan	0.284188792808797	0.3233868457362463	nan	nan	0.2349845742177836	nan	nan	0.3130697792364914	0.3420620490514583	nan
GSE152715.2 1052353	GSE152715.2	female	None	Hnrnpu+/-	C57BL/6NJ	None	class	0.1734926675870594	0.2118821651682225	nan	nan	0.2058701668865206	nan	nan	0.4838227151599508	0.5747949372931944	nan	nan	0.4828028829154861	nan	nan	0.521685563855251	0.5928668444290666	nan	nan
GSE152715.2 1052353	GSE152715.2	female	None	Hnrnpu+/-	C57BL/6NJ	None	family	0.7053706802611	0.7894536136412724	nan	nan	0.7098725643609666	nan	nan	0.6289793420520183	0.779047152750209	nan	nan	0.601495149105473	nan	nan	0.6584025481111463	0.757166595502396	nan	nan
GSE152715.2 1052353	GSE152715.2	female	None	Hnrnpu+/-	C57BL/6NJ	None	global	0.9182230951189136	0.9603547897118948	nan	nan	0.9722911369343252	nan	nan	0.953173033698928	0.9577455378189332	nan	nan	0.9295445085184948	nan	nan	0.9685318028101966	0.9137608026955644	nan	nan
GSE152715.2 1052353	GSE152715.2	female	None	Hnrnpu+/-	C57BL/6NJ	None	subclass	0.1693899899018256	0.2095195992288966	nan	nan	0.1943771703230792	nan	nan	0.3687465931053736	0.3442298137562911	nan	nan	0.2339958521244037	nan	nan	0.3864811981147019	0.3423040523480098	nan	nan
GSE181021.2 1051985	GSE181021.2	male	8-10 weeks	None	C57BL/6N	Setd1a CRISPR-Cas9	class	0.7985666741952813	nan	nan	nan	0.9417973579950052	nan	nan	0.487638341906003	nan	nan	nan	nan	nan	nan	0.5290682992099821	nan	nan	nan
GSE181021.2 1051985	GSE181021.2	male	8-10 weeks	None	C57BL/6N	Setd1a CRISPR-Cas9	family	0.8051042082752949	nan	nan	nan	0.963806881513562	nan	nan	0.9808049990585224	nan	nan	nan	nan	nan	nan	0.9855439549537136	nan	nan	nan
GSE181021.2 1051985	GSE181021.2	male	8-10 weeks	None	C57BL/6N	Setd1a CRISPR-Cas9	global	0.7531662836495121	nan	nan	nan	0.9641836928718424	nan	nan	0.9839608137649024	nan	nan	nan	nan	nan	nan	0.9880586125924896	nan	nan	nan
GSE181021.2 1051985	GSE181021.2	male	8-10 weeks	None	C57BL/6N	Setd1a CRISPR-Cas9	subclass	0.6900749149717563	nan	nan	nan	0.8531475153999812	nan	nan	0.257316552343534	nan	nan	nan	nan	nan	nan	0.4338317992208678	nan	nan	nan
GSE181021.2 1051986	GSE181021.2	male	8-10 weeks	None	C57BL/6N	None	class	0.8082214099947166	nan	nan	nan	0.9387429077948164	nan	nan	0.5959002017985177	nan	nan	nan	0.5928431536211519	nan	nan	0.6406264531308012	nan	nan	nan
GSE181021.2 1051986	GSE181021.2	male	8-10 weeks	None	C57BL/6N	None	family	0.8120429548689867	nan	nan	nan	0.9752252355982868	nan	nan	0.9887505909148904	nan	nan	nan	0.9749579899693172	nan	nan	0.9946461533426604	nan	nan	nan
GSE181021.2 1051986	GSE181021.2	male	8-10 weeks	None	C57BL/6N	None	global	0.7806419877714174	nan	nan	nan	0.9749729424623772	nan	nan	0.9920609259001024	nan	nan	nan	0.9762825051332416	nan	nan	0.9980117950888204	nan	nan	nan
GSE181021.2 1051986	GSE181021.2	male	8-10 weeks	None	C57BL/6N	None	subclass	0.6912784686306753	nan	nan	nan	0.8566292183843882	nan	nan	0.3841668681238593	nan	nan	nan	0.3967173255836018	nan	nan	0.5636090526317353	nan	nan	nan
GSE181021.2 1051987	GSE181021.2	male	8-10 weeks	None	C57BL/6N	Setd1a CRISPR-Cas9	class	0.8559069148287815	nan	nan	nan	0.9654777035201896	nan	nan	0.6123079203735788	0.6113596563695384	nan	nan	0.6012231479240946	nan	nan	0.644856896300756	0.6372159144569676	nan	nan
GSE181021.2 1051987	GSE181021.2	male	8-10 weeks	None	C57BL/6N	Setd1a CRISPR-Cas9	family	0.8619651997836201	nan	nan	nan	0.9848860798851452	nan	nan	0.9882412609587592	0.9986308408573208	nan	nan	0.9627167072889956	nan	nan	0.9890769356198168	0.9990894518906616	nan	nan
GSE181021.2 1051987	GSE181021.2	male	8-10 weeks	None	C57BL/6N	Setd1a CRISPR-Cas9	global	0.8263730089338673	nan	nan	nan	0.9849701443588196	nan	nan	0.9913308808179064	0.9995424785460454	nan	nan	0.958818796543388	nan	nan	0.9926967828847308	1.0	nan	nan
GSE181021.2 1051987	GSE181021.2	male	8-10 weeks	None	C57BL/6N	Setd1a CRISPR-Cas9	subclass	0.743976787441261	nan	nan	nan	0.8824179714102299	nan	nan	0.3891411105314513	0.3825968870033756	nan	nan	0.4067798124962498	nan	nan	0.5495584543773955	0.617368243789828	nan	nan
GSE181021.2 1051988	GSE181021.2	male	8-10 weeks	None	C57BL/6N	None	class	0.8199257959556479	nan	0.931875189952794	0.9965749375062288	0.9137354830586072	0.9289757876523342	0.9758164724703796	0.7546521484846078	nan	0.7528752888584173	0.760072123078529	0.7548581142982883	0.7357697359930483	0.7238962704783585	nan	nan	0.7959348428413714	0.7661548835507689
GSE181021.2 1051988	GSE181021.2	male	8-10 weeks	None	C57BL/6N	None	family	0.8265340031380769	nan	0.9346407998672124	1.0	0.9773086908568912	0.9935682261451504	0.9996204895686484	0.9939791980359046	nan	0.9944633700033711	1.0	0.988850679727911	0.9657569013435664	1.0	nan	nan	0.9931322920469324	1.0
GSE181021.2 1051988	GSE181021.2	male	8-10 weeks	None	C57BL/6N	None	global	0.8088731689946748	nan	0.9324629278651748	1.0	0.9773040345115024	0.9935651442545804	1.0	0.9943174860718252	nan	0.995615350371038	1.0	0.988704169249258	0.9657139580865708	1.0	nan	nan	0.9938869861118852	1.0
GSE181021.2 1051988	GSE181021.2	male	8-10 weeks	None	C57BL/6N	None	subclass	0.7027659646884504	nan	0.9115797392465786	0.990847431643632	0.8334425162806091	0.8590021483069988	0.9592126085875704	0.5284355943793038	nan	0.5242320885059597	0.5304826899054133	0.5315008794013527	0.5169662546296628	0.4956194192865271	nan	nan	0.656118019134646	0.7052979157465504
GSE199460 1011256	GSE199460	None	None	None	None	None	class	0.8681869747467911	nan	nan	nan	0.653932685922706	nan	nan	0.6499059365322448	nan	nan	nan	0.6467283764752446	nan	nan	0.6549475849419824	nan	nan	nan
GSE199460 1011256	GSE199460	None	None	None	None	None	family	0.9042179581322732	nan	nan	nan	0.9939057898496404	nan	nan	0.9810299037583672	nan	nan	nan	0.99122504308986	nan	nan	0.9780607629880173	nan	nan	nan
GSE199460 1011256	GSE199460	None	None	None	None	None	global	0.8804854213165136	nan	nan	nan	0.98911746257706	nan	nan	0.9693858553158178	nan	nan	nan	0.984786770265844	nan	nan	0.9655029805908306	nan	nan	nan
GSE199460 1011256	GSE199460	None	None	None	None	None	subclass	0.864222889112071	nan	nan	nan	0.5277613123270868	nan	nan	0.52899227954255	nan	nan	nan	0.528445233620573	nan	nan	0.5347714499443472	nan	nan	nan
GSE199460 1011257	GSE199460	None	None	None	None	None	class	nan	nan	0.4070721164759119	nan	nan	0.4478354317980876	nan	nan	nan	0.5295851970118587	nan	nan	0.5248366426623747	nan	nan	nan	0.6236122703884202	nan
GSE199460 1011257	GSE199460	None	None	None	None	None	family	nan	nan	0.6477932588705565	nan	nan	0.8825244235707365	nan	nan	nan	0.972861644559758	nan	nan	0.991017452300671	nan	nan	nan	0.9278132010088422	nan
GSE199460 1011257	GSE199460	None	None	None	None	None	global	nan	nan	0.6401306185458429	nan	nan	0.8751831396978703	nan	nan	nan	0.9670220382117928	nan	nan	0.9876837173876244	nan	nan	nan	0.9220540469897784	nan
GSE199460 1011257	GSE199460	None	None	None	None	None	subclass	nan	nan	0.3954090898784862	nan	nan	0.3836131221897922	nan	nan	nan	0.5025566581508009	nan	nan	0.5063947528035402	nan	nan	nan	0.6087302803494506	nan
GSE199460 1011258	GSE199460	None	None	None	None	None	class	nan	0.8872467157874554	nan	nan	nan	nan	nan	nan	0.8878027420780565	nan	nan	nan	nan	nan	nan	0.8878027420780565	nan	nan
GSE199460 1011258	GSE199460	None	None	None	None	None	family	nan	1.0	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	1.0	nan	nan
GSE199460 1011258	GSE199460	None	None	None	None	None	global	nan	1.0	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	1.0	nan	nan
GSE199460 1011258	GSE199460	None	None	None	None	None	subclass	nan	0.8952662853079514	nan	nan	nan	nan	nan	nan	0.8958240388731348	nan	nan	nan	nan	nan	nan	0.8958240388731348	nan	nan
GSE199460 1011259	GSE199460	None	None	None	None	None	class	0.7802511287761049	nan	0.8048736928809462	nan	0.8226048681702401	0.8208500641183144	nan	0.8224797429243033	nan	0.8224797429243033	nan	0.8226048681702401	0.8223545842089947	nan	0.8223545842089947	nan	0.8192146993690946	nan
GSE199460 1011259	GSE199460	None	None	None	None	None	family	0.9491749174917492	nan	0.980532786885246	nan	1.0	0.9993714644877436	nan	1.0	nan	1.0	nan	1.0	0.9998743560748836	nan	1.0	nan	0.9998743560748836	nan
GSE199460 1011259	GSE199460	None	None	None	None	None	global	0.9491749174917492	nan	0.980532786885246	nan	1.0	0.9993714644877436	nan	1.0	nan	1.0	nan	1.0	0.9998743560748836	nan	1.0	nan	0.9998743560748836	nan
GSE199460 1011259	GSE199460	None	None	None	None	None	subclass	0.7930438625524503	nan	0.8187366815731497	nan	0.8362384556901445	0.834613798475661	nan	0.8361128059601404	nan	0.8361233186438829	nan	0.8362384556901445	0.8360080426271368	nan	0.8360080426271368	nan	0.833073413559499	nan
GSE199460 1011260	GSE199460	None	None	None	None	None	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE199460 1011260	GSE199460	None	None	None	None	None	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE199460 1011260	GSE199460	None	None	None	None	None	global	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE199460 1011260	GSE199460	None	None	None	None	None	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE199460 1011261	GSE199460	None	None	None	None	None	class	0.395960706144394	nan	0.4277992550980931	nan	0.5913920600310847	0.5868271062887328	nan	0.6807776486120173	0.6955002473579343	0.6781409953040664	nan	0.6783995407024092	0.6731423584525891	nan	0.6804193824621638	0.6854714666403889	0.6992010835872371	nan
GSE199460 1011261	GSE199460	None	None	None	None	None	family	0.503436253867404	nan	0.6479944874731772	nan	0.8989654105317614	0.8864387668384327	nan	0.9885302706162696	0.9828531425320506	0.9880086658584916	nan	0.996136407753842	0.9917529911277818	nan	0.9875191081082734	0.9825212568710846	0.9548935551123886	nan
GSE199460 1011261	GSE199460	None	None	None	None	None	global	0.4872087208898302	nan	0.6320709350408732	nan	0.8848123587458112	0.8719807261279532	nan	0.9819648238501828	0.9748834640691044	0.9816779670259757	nan	0.9934081864856894	0.9885963991436284	nan	0.9808623848421006	0.974879458828734	0.9466753677099308	nan
GSE199460 1011261	GSE199460	None	None	None	None	None	subclass	0.3926844564720289	nan	0.4266256792959723	nan	0.5155861026424268	0.5166323897632874	nan	0.6284162354209192	0.639377476965114	0.6263520260206435	nan	0.6288712558535727	0.6239699226388236	nan	0.6278869354340522	0.6344098663626148	0.66935330231753	nan
GSE199460 1011262	GSE199460	None	None	None	None	None	class	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE199460 1011262	GSE199460	None	None	None	None	None	family	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE199460 1011262	GSE199460	None	None	None	None	None	global	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE199460 1011262	GSE199460	None	None	None	None	None	subclass	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GSE199460 1011263	GSE199460	None	None	None	None	None	class	0.8238235441636849	nan	nan	nan	0.6853571104245224	nan	nan	0.6785760063687433	0.7196756960693214	nan	nan	0.6678376441671912	nan	nan	0.7058559702923097	0.7130777681608682	nan	nan
GSE199460 1011263	GSE199460	None	None	None	None	None	family	0.8666412056431251	nan	nan	nan	0.9890042029690412	nan	nan	0.9439627352933804	0.9854517574490154	nan	nan	0.9684197070740904	nan	nan	0.9480347237572748	0.9758321222296696	nan	nan
GSE199460 1011263	GSE199460	None	None	None	None	None	global	0.84019251221444	nan	nan	nan	0.9838913071678864	nan	nan	0.9250130578400636	0.9816978073563924	nan	nan	0.9538799096395564	nan	nan	0.9287229828665866	0.9749961161305056	nan	nan
GSE199460 1011263	GSE199460	None	None	None	None	None	subclass	0.8087941353966307	nan	nan	nan	0.5826519346101839	nan	nan	0.5658626033531584	0.6210353951584037	nan	nan	0.5558252898007274	nan	nan	0.6149342565811905	0.6145745890169446	nan	nan
GSE199460 1011264	GSE199460	None	None	None	None	None	class	0.8252514553312306	nan	nan	nan	0.5983358749090967	nan	nan	0.6040955572545444	nan	nan	nan	0.5905090679462228	nan	nan	0.6144908834363277	nan	nan	nan
GSE199460 1011264	GSE199460	None	None	None	None	None	family	0.8660832153227676	nan	nan	nan	0.9909321727908422	nan	nan	0.9445373225696508	nan	nan	nan	0.9746729803958916	nan	nan	0.9453487216610604	nan	nan	nan
GSE199460 1011264	GSE199460	None	None	None	None	None	global	0.8488402557010716	nan	nan	nan	0.9852884715997308	nan	nan	0.9302592635869	nan	nan	nan	0.9637074029985232	nan	nan	0.9311148956176414	nan	nan	nan
GSE199460 1011264	GSE199460	None	None	None	None	None	subclass	0.8111517916696745	nan	nan	nan	0.4685009516410666	nan	nan	0.4751649385766456	nan	nan	nan	0.4614139885698147	nan	nan	0.499226541913791	nan	nan	nan
GSE199460 1011265	GSE199460	None	None	None	None	None	class	0.4065030825613677	nan	0.664065051878386	nan	0.8329540886109492	0.8252680659443716	nan	0.8303627618489212	nan	0.8281593645921725	nan	0.8331225016658833	0.8251413644333055	nan	0.8314356533157644	nan	0.8127432179750141	nan
GSE199460 1011265	GSE199460	None	None	None	None	None	family	0.4535490605427975	nan	0.7687512985663827	nan	0.999324552516042	0.9964436917866216	nan	0.999831223628692	nan	1.0	nan	1.0	0.9981403212172444	nan	0.9994934999155832	nan	0.988909742364784	nan
GSE199460 1011265	GSE199460	None	None	None	None	None	global	0.4535490605427975	nan	0.7687512985663827	nan	0.999324552516042	0.9964436917866216	nan	0.999831223628692	nan	1.0	nan	1.0	0.9981403212172444	nan	0.9994934999155832	nan	0.988909742364784	nan
GSE199460 1011265	GSE199460	None	None	None	None	None	subclass	0.4011688163974656	nan	0.6625234814371979	nan	0.8436019831891005	0.8360740325233018	nan	0.841058191669821	nan	0.8389166600983846	nan	0.8437710896750081	0.8360469639666915	nan	0.8421493593272912	nan	0.8236336084872088	nan
GSE199460 1011266	GSE199460	None	None	None	None	None	class	0.4453121058445318	nan	0.510312748730517	nan	0.438512413335218	0.4358854039172326	nan	0.5158745935249857	0.5022796554706949	0.5149759378843748	nan	0.5215813000126109	0.5204927379988666	nan	0.5245317976980718	0.5067451408408592	0.7093971689255766	nan
GSE199460 1011266	GSE199460	None	None	None	None	None	family	0.5436662759633893	nan	0.7208871164349746	nan	0.8797939232824203	0.8786345460522027	nan	0.9803781789220444	0.9531011689892585	0.9809622747505652	nan	0.9961727049038416	0.9931678194583654	nan	0.9885598533026952	0.961972765235014	0.9460490351018892	nan
GSE199460 1011266	GSE199460	None	None	None	None	None	global	0.5346005162399976	nan	0.7122749295191786	nan	0.8714149856948452	0.8702499514957618	nan	0.974361174510303	0.9457541599675532	0.9751079298308948	nan	0.993856170073408	0.9904117876269356	nan	0.9838453609700336	0.9552006280302806	0.9398913756922204	nan
GSE199460 1011266	GSE199460	None	None	None	None	None	subclass	0.4433685050817913	nan	0.5090653650698845	nan	0.3704839128954072	0.3715990212954024	nan	0.4901900598890806	0.4640062645872331	0.4902651747103961	nan	0.5005244398766292	0.4993392125128635	nan	0.4996304041937772	0.4701776222840646	0.7057065979853019	nan
GSE214244 1011515	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	class	nan	nan	0.9121671050740818	nan	nan	0.9856408480654242	nan	nan	nan	0.269655745692511	0.3946431297673693	nan	0.2578587869719616	0.4310533798971432	nan	nan	0.4841503267283254	0.2703246141189322
GSE214244 1011515	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	family	nan	nan	0.9212235284073892	nan	nan	0.9908199371873504	nan	nan	nan	0.9868775959660974	0.953652107320288	nan	0.971748466124922	0.985706026463702	nan	nan	0.9759773045174828	0.9833518135035804
GSE214244 1011515	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	global	nan	nan	0.9039859906889652	nan	nan	0.9983076160670136	nan	nan	nan	0.9915316545523783	0.9991540971587184	nan	0.973208497505555	0.9907727820260488	nan	nan	0.9795861198127956	0.9997583957477651
GSE214244 1011515	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	subclass	nan	nan	0.9068891241697592	nan	nan	0.9807906196747156	nan	nan	nan	0.2505703067496663	0.3757849354598392	nan	0.2398045230203222	0.4126528572577885	nan	nan	0.4783547176962248	0.2648181408991368
GSE214244 1011516	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	class	0.6598530694555574	nan	nan	nan	0.9761220532419794	nan	nan	0.4867393217947192	0.5892130277040535	nan	nan	0.4590212170863892	nan	nan	0.51408168249311	0.486824958032283	nan	nan
GSE214244 1011516	GSE214244	male	7 months	wild type genotype	C57BL/6J	None	family	0.6724295114231599	nan	nan	nan	0.9931568365086464	nan	nan	0.99186980038561	0.939558585758419	nan	nan	0.9600812882955164	nan	nan	0.9931093133216756	0.9521808973283832	nan	nan
