query	count
pineda 191114 PN 328 snRNA-F9	7440
pineda 191112 ALS 130 snRNA-A5	7440
pineda 191112 ALS 128 snRNA-A7	7440
pineda 191112 ALS 112 snRNA-D1	7440
pineda 191113 FTLD 216 snRNA-H3	7200
pineda 191114 PN 309 snRNA-F1	7200
pineda 191112 ALS 124 snRNA-A3	7200
pineda 191112 ALS 127 snRNA-A4	7200
pineda 191114 PN 304 snRNA-E9	7200
pineda 191114 PN 317 snRNA-F2	7200
pineda 191112 ALS 122 snRNA-D2	7200
pineda 191114 PN 324 snRNA-F7	7200
pineda 191114 PN 325 snRNA-F8	7200
pineda 191114 PN 322 snRNA-F5	7200
pineda 191113 FTLD 222 snRNA-E1	7200
pineda 191114 PN 307 snRNA-E11	7200
pineda 191113 FTLD 202 snRNA-D3	7200
pineda 191114 PN 323 snRNA-F6	6960
pineda 191114 PN 319 snRNA-F4	6720
pineda 201025 FTLD 235 snRNA-C7	6720
pineda 201025 FTLD 232 snRNA-C5	6720
pineda 201019 ALS 102 snRNA-B2	6000
pineda 200721 FTLD 229 snRNA-B2	6000
lim C5596Cin	5520
lim C5227Cin	5520
nagy B5	5520
nagy B4	5520
lim C5700Cin	5520
lim H5286Cin	5520
lim H5109Cin	5520
nagy B3	5520
nagy B6	5520
nagy B2	5520
nagy B1	5520
velmeshev 5958 BA9	5280
velmeshev 5403 PFC	5280
velmeshev 5565 BA24	5280
velmeshev 5864 BA9	5280
velmeshev 6033 BA24	5280
velmeshev 5939 BA9	5280
lim H4161Cin	5280
velmeshev 5531 BA24	5280
velmeshev 5278 PFC	5280
velmeshev 5565 BA9	5280
velmeshev 5978 BA24	5280
velmeshev 5294 BA24	5280
velmeshev 6033 BA9	5280
velmeshev 4341 BA46	5280
velmeshev 1823 BA24	5280
velmeshev 5538 PFC Nova	5280
velmeshev 5879 PFC Nova	5280
velmeshev 5408 PFC Nova	5280
velmeshev 5893 PFC	5280
velmeshev 4341 BA24	5280
velmeshev 5945 PFC	5280
lim H5608Cin	5280
velmeshev 5841 BA9	5280
velmeshev 5242 BA24	5280
velmeshev 5577 BA9	5280
velmeshev 5531 BA9	5280
velmeshev 5936 PFC Nova	5280
velmeshev 5958 BA24	5280
velmeshev 5294 BA9	5280
velmeshev 6032 BA24	5280
velmeshev 5144 PFC	5280
velmeshev 5163 BA24	5280
pineda 191113 FTLD 224 snRNA-E2	5280
velmeshev 5387 BA9	5280
velmeshev 5278 BA24	5280
velmeshev 5893 BA24	5280
velmeshev 4899 BA24	5280
lim H5263Cin	5280
velmeshev 5419 PFC	5280
velmeshev 5554 BA24	5280
velmeshev 4849 BA24	5280
velmeshev 5978 BA9	5040
velmeshev 5976 BA9	5040
velmeshev 5391 BA24	5040
velmeshev 5939 BA24	5040
pineda 191114 PN 308 snRNA-E12	4080
rosmap R1067972	3840
rosmap R7288382	3840
rosmap R7160627	3840
rosmap R6114572	3840
rosmap R2830542	3840
rosmap R5885245	3840
rosmap R4258320	3840
rosmap R4439627	3840
rosmap R9500594	3840
rosmap R3405776	3840
rosmap R7770387	3840
rosmap R2880377	3840
rosmap R5816648	3840
rosmap R2081705	3840
rosmap R4379962	3840
rosmap R1538032	3840
rosmap R9307768	3840
rosmap R4415805	3840
rosmap R9094222	3840
rosmap R4262244	3840
rosmap R8608442	3840
rosmap R8744945	3840
rosmap R4739508	3840
rosmap R4689636	3840
rosmap R3884524	3840
rosmap R8725848	3840
rosmap R9113571	3840
rosmap R4567280	3840
rosmap R3900996	3840
lim C5404Cin	3600
lim H5493Cin	3600
lim H5575Cin	3600
lim C5382Cin	3600
rosmap R3086211	3360
rosmap R8451530	3360
rosmap R3177264	3360
rosmap R4042599	3360
rosmap R4146432	3360
rosmap R2895885	3360
rosmap R4482444	3360
rosmap R9551808	3360
rosmap R6267541	3360
rosmap R4728676	3360
rosmap R7944883	3360
rosmap R7721691	3360
rosmap R2294544	3360
rosmap R8598847	3360
rosmap R9426782	3360
rosmap R4012015	3360
lau GSM4775581	3120
lau GSM4775561	3120
lau GSM4775567	3120
lau GSM4775571	3120
lau GSM4775577	3120
lau GSM4775579	3120
lau GSM4775565	3120
lau GSM4775570	3120
lau GSM4775566	3120
lau GSM4775569	3120
lau GSM4775575	3120
lau GSM4775572	3120
lau GSM4775563	3120
lau GSM4775573	3120
lau GSM4775576	3120
lau GSM4775562	3120
lau GSM4775564	3120
lau GSM4775578	3120
lau GSM4775580	3120
lau GSM4775574	3120
lau GSM4775568	3120
GSE211870 1036044	2880
GSE211870 1036042	2880
rosmap R8629052	2880
rosmap R5196723	2880
rosmap R6176158	2880
GSE211870 1036043	2160
GSE211870 1036045	1440
