label	key	cutoff	n_studies	n_studies_total	frac_studies	mean_f1	std_f1	min_f1	max_f1	mean_precision	std_precision	min_precision	max_precision	mean_recall	std_recall	min_recall	max_recall
VIP	subclass	0.0	7	9	0.7777777777777778	0.8910847103783143	0.03324715069660611	0.8628050553314243	0.9394278681261368	0.9464053807192551	0.028631491960172617	0.8845860093733727	0.966471924220218	0.8898850795582572	0.044881671395263445	0.8275428456406718	0.935911306042885
PVALB	subclass	0.0	7	9	0.7777777777777778	0.8892479685334802	0.03688567670097705	0.8463378941021849	0.9377927639103307	0.9629641785244358	0.018352455594660963	0.9357497452969894	0.9856200975850782	0.8655217966619969	0.04882834708797456	0.8017806267806268	0.9308031419638562
Chandelier	subclass	0.0	6	9	0.6666666666666666	0.8655493353741585	0.024103640410197063	0.83	0.8944444444444445	0.9662560668344096	0.034116194024811176	0.9207858048162231	1.0	0.8832224432655466	0.0068033540297112016	0.8766666666666667	0.8944444444444445
Vascular	subclass	0.0	7	9	0.7777777777777778	0.8603323885109599	0.11520595723898569	0.6388888888888888	0.95	0.9858199641829536	0.026679005808310917	0.9277671247469905	1.0	0.862989417989418	0.11489526644564911	0.6388888888888888	0.95
OPC	subclass	0.0	9	9	1.0	0.8492364622700946	0.3073261890118384	0.03113271755637693	0.9728316596544151	0.8941001033547159	0.2882879323446849	0.12655271776162738	0.9999232186732187	0.8455462891839538	0.3017849406716515	0.042153679653679645	0.966087440824283
PAX6	subclass	0.0	6	9	0.6666666666666666	0.8263385324808935	0.1424419009875996	0.6092777777777778	0.9568827160493828	0.8426271152187924	0.11720680963915256	0.7067964480874317	0.973700887198986	0.8845646862139919	0.11758905536911322	0.7058333333333333	0.9888888888888889
L6 CT	subclass	0.0	7	9	0.7777777777777778	0.7955689878825153	0.09951474765923285	0.6614945866099712	0.9667021867021868	0.9440471904820529	0.04268030344600498	0.8652764094143405	0.9898951996607159	0.7871157790494648	0.10090083485770396	0.6494287749287749	0.9678512880562061
Endothelial	subclass	0.0	7	9	0.7777777777777778	0.7914755223303542	0.1035052622642944	0.6344444444444445	0.9042989601377401	0.9519252274904785	0.06647583926642942	0.8249809087437954	1.0	0.790445587067561	0.1101821706187174	0.63	0.9057613168724279
L6b	subclass	0.0	7	9	0.7777777777777778	0.7821016663703168	0.11655074615761436	0.6199669312169311	0.9542238576238576	0.8832293975899156	0.07831708720936836	0.7801771871539314	0.9874375096844697	0.8154001704712177	0.10900280920995062	0.6569444444444444	0.9559333333333334
VLMC	subclass	0.0	6	9	0.6666666666666666	0.6862884806551474	0.14707700296328385	0.5202727272727273	0.85	0.7965710492935187	0.23490281224264264	0.48311595471521945	1.0	0.7694747474747473	0.0787260868799734	0.6765151515151515	0.85
SNCG	subclass	0.0	7	9	0.7777777777777778	0.6529809159829126	0.08604590337608183	0.5371281153688562	0.8224206349206349	0.789699784699667	0.0945760218691019	0.6235484317183664	0.9340579710144927	0.7106099189100544	0.07245485736350774	0.620679012345679	0.8441666666666666
L5 ET	subclass	0.0	7	9	0.7777777777777778	0.5737233560090703	0.321549150008356	0.10555555555555556	0.9452380952380952	0.8896240467251213	0.14143992021390886	0.6316964285714286	0.9952146568225322	0.5531179138321995	0.3177385874138249	0.11666666666666667	0.9384920634920635
Pericyte	subclass	0.0	6	9	0.6666666666666666	0.0736087567516779	0.026575055418882144	0.02998346560846561	0.09575567502986858	0.9674468954248366	0.05332161874090643	0.87	1.0	0.07265334907359997	0.027000755917376273	0.027893518518518515	0.09546594982078853
