study	query	query_region	count
UCLA-ASD	UCLA-ASD 1203503	prefrontal cortex	6336
MultiomeBrain	MultiomeBrain 1203376	prefrontal cortex	6336
CMC	CMC 1203041	prefrontal cortex	6336
pineda	pineda 191112 ALS 114 snRNA-B12	primary motor cortex	6336
pineda	pineda 191114 PN 309 snRNA-F1	primary motor cortex	6336
pineda	pineda 191113 FTLD 229 snRNA-E6	primary motor cortex	6325
UCLA-ASD	UCLA-ASD 1203459	prefrontal cortex	6325
UCLA-ASD	UCLA-ASD 1203485	prefrontal cortex	6325
CMC	CMC 1203011	prefrontal cortex	6325
CMC	CMC 1203073	prefrontal cortex	6325
CMC	CMC 1203024	prefrontal cortex	6325
pineda	pineda 191114 PN 318 snRNA-F3	primary motor cortex	6325
CMC	CMC 1203038	prefrontal cortex	6325
velmeshev	velmeshev 5294 BA9	prefrontal cortex	6072
velmeshev	velmeshev 5294 BA24	anterior cingulate cortex	6072
CMC	CMC 1203061	prefrontal cortex	6072
UCLA-ASD	UCLA-ASD 1203487	prefrontal cortex	6072
UCLA-ASD	UCLA-ASD 1203491	prefrontal cortex	6072
velmeshev	velmeshev 5144 PFC	prefrontal cortex	6072
CMC	CMC 1203110	prefrontal cortex	6072
velmeshev	velmeshev 5408 PFC Nova	prefrontal cortex	6072
UCLA-ASD	UCLA-ASD 1203499	prefrontal cortex	6072
UCLA-ASD	UCLA-ASD 1203500	prefrontal cortex	6072
velmeshev	velmeshev 4341 BA24	anterior cingulate cortex	6072
UCLA-ASD	UCLA-ASD 1203505	prefrontal cortex	6072
lim	lim C5596Cin	cingulate cortex	6072
lim	lim H5608Cin	cingulate cortex	6072
UCLA-ASD	UCLA-ASD 1203477	prefrontal cortex	6072
CMC	CMC 1203047	prefrontal cortex	6072
velmeshev	velmeshev 5531 BA24	anterior cingulate cortex	6072
pineda	pineda 201019 ALS 113 snRNA-B7	primary motor cortex	6072
CMC	CMC 1203045	prefrontal cortex	6072
MultiomeBrain	MultiomeBrain 1203375	prefrontal cortex	6072
MultiomeBrain	MultiomeBrain 1203381	prefrontal cortex	6072
velmeshev	velmeshev 5841 BA9	prefrontal cortex	6072
velmeshev	velmeshev 5936 PFC Nova	prefrontal cortex	6072
velmeshev	velmeshev 5958 BA9	prefrontal cortex	6072
PTSDBrainomics	PTSDBrainomics 1203507	prefrontal cortex	6072
PTSDBrainomics	PTSDBrainomics 1203510	prefrontal cortex	6072
PTSDBrainomics	PTSDBrainomics 1203513	prefrontal cortex	6072
PTSDBrainomics	PTSDBrainomics 1203524	prefrontal cortex	6072
velmeshev	velmeshev 5978 BA24	anterior cingulate cortex	6072
PTSDBrainomics	PTSDBrainomics 1203520	prefrontal cortex	6072
nagy	nagy B6	dorsolateral prefrontal cortex	6072
UCLA-ASD	UCLA-ASD 1203490	prefrontal cortex	6072
pineda	pineda 191112 ALS 115 snRNA-C1	primary motor cortex	6072
DevBrain	DevBrain 1203406	prefrontal cortex	6072
pineda	pineda 191114 PN 304 snRNA-E9	primary motor cortex	6072
CMC	CMC 1203105	prefrontal cortex	6072
pineda	pineda 191112 ALS 129 snRNA-A2	primary motor cortex	6072
pineda	pineda 191113 FTLD 211 snRNA-D7	primary motor cortex	6072
pineda	pineda 191112 ALS 128 snRNA-A7	primary motor cortex	6072
pineda	pineda 201019 ALS 106 snRNA-B5	primary motor cortex	6072
pineda	pineda 201019 ALS 108 snRNA-B6	primary motor cortex	6072
pineda	pineda 191114 PN 328 snRNA-F9	primary motor cortex	6072
DevBrain	DevBrain 1203400	prefrontal cortex	6072
pineda	pineda 191112 ALS 116 snRNA-C2	primary motor cortex	6072
CMC	CMC 1203100	prefrontal cortex	6072
velmeshev	velmeshev 5554 BA24	anterior cingulate cortex	5819
CMC	CMC 1203052	prefrontal cortex	5819
UCLA-ASD	UCLA-ASD 1203464	prefrontal cortex	5819
CMC	CMC 1203042	prefrontal cortex	5819
pineda	pineda 191113 FTLD 225 snRNA-H5	primary motor cortex	5819
MultiomeBrain	MultiomeBrain 1203390	prefrontal cortex	5819
pineda	pineda 201019 ALS 101 snRNA-B1	primary motor cortex	5819
velmeshev	velmeshev 5531 BA9	prefrontal cortex	5819
velmeshev	velmeshev 1823 BA24	anterior cingulate cortex	5819
UCLA-ASD	UCLA-ASD 1203455	prefrontal cortex	5819
lim	lim H5109Cin	cingulate cortex	5819
lim	lim C5700Cin	cingulate cortex	5819
pineda	pineda 191114 PN 306 snRNA-E10	primary motor cortex	5808
PTSDBrainomics	PTSDBrainomics 1203517	prefrontal cortex	5808
pineda	pineda 191114 PN 317 snRNA-F2	primary motor cortex	5808
UCLA-ASD	UCLA-ASD 1203454	prefrontal cortex	5808
CMC	CMC 1203039	prefrontal cortex	5808
pineda	pineda 201025 FTLD 232 snRNA-C5	primary motor cortex	5808
CMC	CMC 1203107	prefrontal cortex	5808
pineda	pineda 191114 PN 322 snRNA-F5	primary motor cortex	5808
DevBrain	DevBrain 1203402	prefrontal cortex	5808
UCLA-ASD	UCLA-ASD 1203460	prefrontal cortex	5808
PTSDBrainomics	PTSDBrainomics 1203512	prefrontal cortex	5808
PTSDBrainomics	PTSDBrainomics 1203509	prefrontal cortex	5808
UCLA-ASD	UCLA-ASD 1203458	prefrontal cortex	5808
pineda	pineda 191114 PN 319 snRNA-F4	primary motor cortex	5808
velmeshev	velmeshev 5577 BA9	prefrontal cortex	5808
PTSDBrainomics	PTSDBrainomics 1203521	prefrontal cortex	5808
CMC	CMC 1203098	prefrontal cortex	5808
pineda	pineda 191113 FTLD 216 snRNA-H3	primary motor cortex	5808
nagy	nagy B4	dorsolateral prefrontal cortex	5808
nagy	nagy B2	dorsolateral prefrontal cortex	5808
velmeshev	velmeshev 4341 BA46	prefrontal cortex	5808
pineda	pineda 191112 ALS 130 snRNA-A5	primary motor cortex	5808
pineda	pineda 200721 PN 302 snRNA-B4	primary motor cortex	5808
pineda	pineda 191113 FTLD 209 snRNA-D6	primary motor cortex	5808
velmeshev	velmeshev 5242 BA24	anterior cingulate cortex	5808
UCLA-ASD	UCLA-ASD 1203482	prefrontal cortex	5808
UCLA-ASD	UCLA-ASD 1203488	prefrontal cortex	5808
pineda	pineda 191113 FTLD 222 snRNA-E1	primary motor cortex	5808
CMC	CMC 1203097	prefrontal cortex	5808
pineda	pineda 201025 FTLD 234 snRNA-C6	primary motor cortex	5786
pineda	pineda 201019 ALS 104 snRNA-B4	primary motor cortex	5566
pineda	pineda 191114 PN 307 snRNA-E11	primary motor cortex	5566
PTSDBrainomics	PTSDBrainomics 1203506	prefrontal cortex	5566
velmeshev	velmeshev 5565 BA9	prefrontal cortex	5544
velmeshev	velmeshev 6033 BA24	anterior cingulate cortex	5544
velmeshev	velmeshev 6032 BA24	anterior cingulate cortex	5544
velmeshev	velmeshev 5538 PFC Nova	prefrontal cortex	5544
nagy	nagy B3	dorsolateral prefrontal cortex	5544
pineda	pineda 191114 PN 303 snRNA-E8	primary motor cortex	5544
pineda	pineda 191112 ALS 117 snRNA-C3	primary motor cortex	5544
velmeshev	velmeshev 5403 PFC	prefrontal cortex	5544
velmeshev	velmeshev 5391 BA24	anterior cingulate cortex	5544
velmeshev	velmeshev 5976 BA9	prefrontal cortex	5544
velmeshev	velmeshev 4899 BA24	anterior cingulate cortex	5544
velmeshev	velmeshev 4849 BA24	anterior cingulate cortex	5544
velmeshev	velmeshev 5163 BA24	anterior cingulate cortex	5544
velmeshev	velmeshev 5958 BA24	anterior cingulate cortex	5544
velmeshev	velmeshev 5419 PFC	prefrontal cortex	5544
velmeshev	velmeshev 5387 BA9	prefrontal cortex	5544
velmeshev	velmeshev 5565 BA24	anterior cingulate cortex	5544
velmeshev	velmeshev 5278 BA24	anterior cingulate cortex	5544
velmeshev	velmeshev 5893 BA24	anterior cingulate cortex	5544
velmeshev	velmeshev 5879 PFC Nova	prefrontal cortex	5544
pineda	pineda 191114 PN 325 snRNA-F8	primary motor cortex	5544
pineda	pineda 191113 FTLD 228 snRNA-E5	primary motor cortex	5544
velmeshev	velmeshev 6033 BA9	prefrontal cortex	5544
CMC	CMC 1203060	prefrontal cortex	5544
CMC	CMC 1203036	prefrontal cortex	5544
CMC	CMC 1203057	prefrontal cortex	5544
CMC	CMC 1203063	prefrontal cortex	5544
CMC	CMC 1203066	prefrontal cortex	5544
CMC	CMC 1203025	prefrontal cortex	5544
CMC	CMC 1203083	prefrontal cortex	5544
MultiomeBrain	MultiomeBrain 1203380	prefrontal cortex	5544
CMC	CMC 1203016	prefrontal cortex	5544
CMC	CMC 1203085	prefrontal cortex	5544
MultiomeBrain	MultiomeBrain 1203386	prefrontal cortex	5544
PTSDBrainomics	PTSDBrainomics 1203515	prefrontal cortex	5544
MultiomeBrain	MultiomeBrain 1203389	prefrontal cortex	5544
MultiomeBrain	MultiomeBrain 1203391	prefrontal cortex	5544
PTSDBrainomics	PTSDBrainomics 1203508	prefrontal cortex	5544
PTSDBrainomics	PTSDBrainomics 1203514	prefrontal cortex	5544
CMC	CMC 1203048	prefrontal cortex	5544
DevBrain	DevBrain 1203397	prefrontal cortex	5313
pineda	pineda 201025 FTLD 240 snRNA-C12	primary motor cortex	5313
pineda	pineda 191112 ALS 127 snRNA-A4	primary motor cortex	5313
pineda	pineda 191112 ALS 124 snRNA-A3	primary motor cortex	5313
pineda	pineda 191114 PN 301 snRNA-E7	primary motor cortex	5313
nagy	nagy B5	dorsolateral prefrontal cortex	5313
MultiomeBrain	MultiomeBrain 1203385	prefrontal cortex	5313
velmeshev	velmeshev 5939 BA9	prefrontal cortex	5313
UCLA-ASD	UCLA-ASD 1203469	prefrontal cortex	5280
MultiomeBrain	MultiomeBrain 1203393	prefrontal cortex	5280
UCLA-ASD	UCLA-ASD 1203457	prefrontal cortex	5280
DevBrain	DevBrain 1203398	prefrontal cortex	5280
MultiomeBrain	MultiomeBrain 1203387	prefrontal cortex	5280
CMC	CMC 1203106	prefrontal cortex	5280
pineda	pineda 200721 FTLD 206 snRNA-A10	primary motor cortex	5280
CMC	CMC 1203088	prefrontal cortex	5280
UCLA-ASD	UCLA-ASD 1203501	prefrontal cortex	5280
CMC	CMC 1203084	prefrontal cortex	5280
pineda	pineda 201025 FTLD 235 snRNA-C7	primary motor cortex	5280
CMC	CMC 1203021	prefrontal cortex	5280
CMC	CMC 1203027	prefrontal cortex	5280
CMC	CMC 1203064	prefrontal cortex	5280
velmeshev	velmeshev 5278 PFC	prefrontal cortex	5280
CMC	CMC 1203037	prefrontal cortex	5280
CMC	CMC 1203026	prefrontal cortex	5280
nagy	nagy B1	dorsolateral prefrontal cortex	5280
CMC	CMC 1203081	prefrontal cortex	5280
CMC	CMC 1203062	prefrontal cortex	5280
CMC	CMC 1203030	prefrontal cortex	5060
CMC	CMC 1203092	prefrontal cortex	5060
UCLA-ASD	UCLA-ASD 1203481	prefrontal cortex	5060
pineda	pineda 191114 PN 324 snRNA-F7	primary motor cortex	5060
velmeshev	velmeshev 5864 BA9	prefrontal cortex	5016
CMC	CMC 1203044	prefrontal cortex	5016
velmeshev	velmeshev 5893 PFC	prefrontal cortex	5016
pineda	pineda 191113 FTLD 218 snRNA-H4	primary motor cortex	5016
velmeshev	velmeshev 5978 BA9	prefrontal cortex	5016
CMC	CMC 1203076	prefrontal cortex	5016
CMC	CMC 1203040	prefrontal cortex	5016
CMC	CMC 1203108	prefrontal cortex	5016
CMC	CMC 1203103	prefrontal cortex	5016
CMC	CMC 1203019	prefrontal cortex	5016
CMC	CMC 1203102	prefrontal cortex	5016
CMC	CMC 1203072	prefrontal cortex	5016
velmeshev	velmeshev 5945 PFC	prefrontal cortex	5016
CMC	CMC 1203053	prefrontal cortex	5016
pineda	pineda 201025 FTLD 237 snRNA-C9	primary motor cortex	5016
pineda	pineda 201019 PN 311 snRNA-B8	primary motor cortex	5016
CMC	CMC 1203094	prefrontal cortex	5016
PTSDBrainomics	PTSDBrainomics 1203522	prefrontal cortex	5016
UCLA-ASD	UCLA-ASD 1203473	prefrontal cortex	5016
MultiomeBrain	MultiomeBrain 1203382	prefrontal cortex	5016
UCLA-ASD	UCLA-ASD 1203486	prefrontal cortex	5016
CMC	CMC 1203046	prefrontal cortex	4807
CMC	CMC 1203015	prefrontal cortex	4807
lim	lim C5227Cin	cingulate cortex	4807
pineda	pineda 200721 FTLD 214 snRNA-A12	primary motor cortex	4752
CMC	CMC 1203091	prefrontal cortex	4752
CMC	CMC 1203089	prefrontal cortex	4752
CMC	CMC 1203109	prefrontal cortex	4752
DevBrain	DevBrain 1203396	prefrontal cortex	4752
UCLA-ASD	UCLA-ASD 1203496	prefrontal cortex	4752
CMC	CMC 1203071	prefrontal cortex	4752
CMC	CMC 1203054	prefrontal cortex	4752
CMC	CMC 1203049	prefrontal cortex	4752
CMC	CMC 1203096	prefrontal cortex	4752
lim	lim H5286Cin	cingulate cortex	4752
velmeshev	velmeshev 5939 BA24	anterior cingulate cortex	4752
pineda	pineda 191112 ALS 112 snRNA-D1	primary motor cortex	4554
pineda	pineda 191112 ALS 126 snRNA-A6	primary motor cortex	4554
DevBrain	DevBrain 1203403	prefrontal cortex	4554
pineda	pineda 201019 ALS 102 snRNA-B2	primary motor cortex	4554
MultiomeBrain	MultiomeBrain 1203388	prefrontal cortex	4554
pineda	pineda 191113 FTLD 214 snRNA-D9	primary motor cortex	4488
CMC	CMC 1203013	prefrontal cortex	4488
lim	lim H4161Cin	cingulate cortex	4488
rosmap	rosmap R7770387	prefrontal cortex	4488
pineda	pineda 191114 PN 323 snRNA-F6	primary motor cortex	4301
CMC	CMC 1203077	prefrontal cortex	4301
CMC	CMC 1203078	prefrontal cortex	4224
lim	lim H5493Cin	cingulate cortex	4224
CMC	CMC 1203031	prefrontal cortex	4224
CMC	CMC 1203050	prefrontal cortex	4224
CMC	CMC 1203079	prefrontal cortex	4224
UCLA-ASD	UCLA-ASD 1203468	prefrontal cortex	4048
rosmap	rosmap R1067972	prefrontal cortex	3960
rosmap	rosmap R2081705	prefrontal cortex	3960
rosmap	rosmap R2830542	prefrontal cortex	3960
GSE237718	GSE237718 1180334	temporal cortex	3960
GSE237718	GSE237718 1180338	temporal cortex	3960
GSE237718	GSE237718 1180336	temporal cortex	3960
lim	lim C5382Cin	cingulate cortex	3960
GSE237718	GSE237718 1180331	temporal cortex	3960
rosmap	rosmap R2895885	prefrontal cortex	3960
GSE237718	GSE237718 1180308	temporal cortex	3960
rosmap	rosmap R9426782	prefrontal cortex	3960
rosmap	rosmap R4379962	prefrontal cortex	3960
lim	lim H5263Cin	cingulate cortex	3960
GSE237718	GSE237718 1180343	temporal cortex	3960
GSE237718	GSE237718 1180342	temporal cortex	3960
GSE237718	GSE237718 1180328	temporal cortex	3960
GSE237718	GSE237718 1180319	temporal cortex	3960
GSE237718	GSE237718 1180340	temporal cortex	3960
GSE237718	GSE237718 1180317	temporal cortex	3960
CMC	CMC 1203075	prefrontal cortex	3960
rosmap	rosmap R9307768	prefrontal cortex	3960
rosmap	rosmap R8608442	prefrontal cortex	3960
rosmap	rosmap R4567280	prefrontal cortex	3960
rosmap	rosmap R4415805	prefrontal cortex	3960
GSE237718	GSE237718 1180310	temporal cortex	3960
GSE237718	GSE237718 1180309	temporal cortex	3960
GSE237718	GSE237718 1180337	temporal cortex	3795
lim	lim C5404Cin	cingulate cortex	3795
lim	lim H5575Cin	cingulate cortex	3795
rosmap	rosmap R3884524	prefrontal cortex	3795
GSE237718	GSE237718 1180306	temporal cortex	3795
lau	lau GSM4775561	prefrontal cortex	3696
UCLA-ASD	UCLA-ASD 1203492	prefrontal cortex	3696
lau	lau GSM4775576	prefrontal cortex	3696
rosmap	rosmap R3405776	prefrontal cortex	3696
CMC	CMC 1203051	prefrontal cortex	3696
lau	lau GSM4775575	prefrontal cortex	3696
lau	lau GSM4775563	prefrontal cortex	3696
lau	lau GSM4775565	prefrontal cortex	3696
lau	lau GSM4775581	prefrontal cortex	3696
pineda	pineda 191112 ALS 122 snRNA-D2	primary motor cortex	3696
lau	lau GSM4775572	prefrontal cortex	3696
lau	lau GSM4775567	prefrontal cortex	3696
lau	lau GSM4775569	prefrontal cortex	3696
lau	lau GSM4775578	prefrontal cortex	3542
lau	lau GSM4775570	prefrontal cortex	3542
GSE237718	GSE237718 1180339	temporal cortex	3432
rosmap	rosmap R5885245	prefrontal cortex	3432
rosmap	rosmap R7160627	prefrontal cortex	3432
GSE237718	GSE237718 1180344	temporal cortex	3432
rosmap	rosmap R6176158	prefrontal cortex	3432
GSE237718	GSE237718 1180347	temporal cortex	3432
rosmap	rosmap R5816648	prefrontal cortex	3432
rosmap	rosmap R7721691	prefrontal cortex	3432
GSE237718	GSE237718 1180324	temporal cortex	3432
GSE237718	GSE237718 1180325	temporal cortex	3432
GSE237718	GSE237718 1180348	temporal cortex	3432
rosmap	rosmap R4482444	prefrontal cortex	3432
rosmap	rosmap R7288382	prefrontal cortex	3432
rosmap	rosmap R8598847	prefrontal cortex	3432
GSE237718	GSE237718 1180313	temporal cortex	3432
rosmap	rosmap R8451530	prefrontal cortex	3432
GSE237718	GSE237718 1180311	temporal cortex	3432
GSE237718	GSE237718 1180322	temporal cortex	3432
GSE237718	GSE237718 1180321	temporal cortex	3432
rosmap	rosmap R8725848	prefrontal cortex	3432
rosmap	rosmap R8744945	prefrontal cortex	3432
rosmap	rosmap R9094222	prefrontal cortex	3432
rosmap	rosmap R9500594	prefrontal cortex	3432
rosmap	rosmap R9551808	prefrontal cortex	3432
GSE237718	GSE237718 1180314	temporal cortex	3432
GSE237718	GSE237718 1180315	temporal cortex	3432
rosmap	rosmap R4439627	prefrontal cortex	3432
rosmap	rosmap R4262244	prefrontal cortex	3432
GSE237718	GSE237718 1180307	temporal cortex	3432
GSE237718	GSE237718 1180318	temporal cortex	3432
GSE237718	GSE237718 1180330	temporal cortex	3432
GSE237718	GSE237718 1180361	temporal cortex	3432
GSE237718	GSE237718 1180360	temporal cortex	3432
GSE237718	GSE237718 1180333	temporal cortex	3432
pineda	pineda 191114 PN 308 snRNA-E12	primary motor cortex	3432
GSE237718	GSE237718 1180335	temporal cortex	3432
GSE237718	GSE237718 1180358	temporal cortex	3432
GSE237718	GSE237718 1180329	temporal cortex	3432
GSE237718	GSE237718 1180357	temporal cortex	3432
GSE237718	GSE237718 1180356	temporal cortex	3432
CMC	CMC 1203029	prefrontal cortex	3432
GSE237718	GSE237718 1180354	temporal cortex	3432
GSE237718	GSE237718 1180353	temporal cortex	3432
GSE237718	GSE237718 1180320	temporal cortex	3432
rosmap	rosmap R2880377	prefrontal cortex	3432
rosmap	rosmap R3086211	prefrontal cortex	3432
rosmap	rosmap R4258320	prefrontal cortex	3432
rosmap	rosmap R3177264	prefrontal cortex	3432
GSE237718	GSE237718 1180326	temporal cortex	3432
GSE211870	GSE211870 1036044	prefrontal cortex	3432
GSE237718	GSE237718 1180351	temporal cortex	3432
GSE237718	GSE237718 1180352	temporal cortex	3432
rosmap	rosmap R4042599	prefrontal cortex	3432
rosmap	rosmap R3900996	prefrontal cortex	3432
GSE237718	GSE237718 1180349	temporal cortex	3432
GSE237718	GSE237718 1180359	temporal cortex	3289
GSE237718	GSE237718 1180327	temporal cortex	3289
GSE237718	GSE237718 1180341	temporal cortex	3289
GSE237718	GSE237718 1180345	temporal cortex	3289
GSE237718	GSE237718 1180355	temporal cortex	3289
GSE237718	GSE237718 1180323	temporal cortex	3289
rosmap	rosmap R7944883	prefrontal cortex	3289
GSE237718	GSE237718 1180316	temporal cortex	3289
GSE237718	GSE237718 1180312	temporal cortex	3289
rosmap	rosmap R8629052	prefrontal cortex	3289
rosmap	rosmap R6114572	prefrontal cortex	3289
rosmap	rosmap R4689636	prefrontal cortex	3289
pineda	pineda 200721 FTLD 229 snRNA-B2	primary motor cortex	3168
lau	lau GSM4775579	prefrontal cortex	3168
lau	lau GSM4775580	prefrontal cortex	3168
CMC	CMC 1203104	prefrontal cortex	3168
lau	lau GSM4775566	prefrontal cortex	3168
lau	lau GSM4775568	prefrontal cortex	3168
rosmap	rosmap R1538032	prefrontal cortex	3168
rosmap	rosmap R2294544	prefrontal cortex	3168
lau	lau GSM4775562	prefrontal cortex	3168
GSE237718	GSE237718 1180346	temporal cortex	3168
lau	lau GSM4775571	prefrontal cortex	3168
lau	lau GSM4775573	prefrontal cortex	3168
lau	lau GSM4775574	prefrontal cortex	3036
rosmap	rosmap R5196723	prefrontal cortex	2904
GSE237718	GSE237718 1180332	temporal cortex	2904
rosmap	rosmap R6267541	prefrontal cortex	2904
rosmap	rosmap R4146432	prefrontal cortex	2904
pineda	pineda 191113 FTLD 224 snRNA-E2	primary motor cortex	2904
rosmap	rosmap R9113571	prefrontal cortex	2904
GSE211870	GSE211870 1036042	prefrontal cortex	2904
rosmap	rosmap R4728676	prefrontal cortex	2783
rosmap	rosmap R4012015	prefrontal cortex	2783
rosmap	rosmap R4739508	prefrontal cortex	2640
lau	lau GSM4775577	prefrontal cortex	2640
GSE237718	GSE237718 1180350	temporal cortex	2640
lau	lau GSM4775564	prefrontal cortex	2530
GSE211870	GSE211870 1036043	prefrontal cortex	1848
GSE211870	GSE211870 1036045	prefrontal cortex	1771
GSE180670	GSE180670 1036082	oligodendrocytes in primary culture	1056
GSE180670	GSE180670 1036085	oligodendrocytes in primary culture	1056
GSE180670	GSE180670 1036083	oligodendrocytes in primary culture	1056
GSE180670	GSE180670 1036084	oligodendrocytes in primary culture	1012
