"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"scvi"	0.940898010541862	0.0342562548538734	Inf	0.826380900111411	0.981565925264293	"class"
"Dissection Angular gyrus AnG"	"seurat"	0.944815503918041	0.0343216034472153	Inf	0.824931622957583	0.984179338811412	"family"
"Dissection Anterior cingulate cortex ACC"	"seurat"	0.942843072006074	0.0354737364925378	Inf	0.81949500581284	0.983589199381362	"family"
"Dissection Dorsolateral prefrontal cortex DFC"	"seurat"	0.771500338089705	0.116030830897638	Inf	0.481701270513414	0.924619409436097	"family"
"Dissection Primary auditory cortexA1"	"seurat"	0.94468223366801	0.0343996058291668	Inf	0.82456276219117	0.984139517923803	"family"
"Dissection Primary somatosensory cortex S1"	"seurat"	0.942354750732127	0.0357584593947586	Inf	0.818155129807393	0.98344298715813	"family"
"Dissection Primary visual cortexV1"	"seurat"	0.948324137887479	0.0322591310516053	Inf	0.834727265918635	0.985224558435711	"family"
"Human Multiple Cortical Areas SMART-seq"	"seurat"	0.932568261900864	0.0413928853836006	Inf	0.791948450379476	0.980486506600107	"family"
"whole cortex"	"seurat"	0.938893067705695	0.037766147601704	Inf	0.808750951221848	0.9824023923507	"family"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.948663589371994	0.0320584871511503	Inf	0.835684782252947	0.985325245215712	"family"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.944950411733194	0.0342423497930299	Inf	0.825306707587946	0.984219483421049	"family"
"Dissection Angular gyrus AnG"	"scvi"	0.960776105983247	0.024805964184762	Inf	0.870831612610117	0.988888256848588	"family"
"Dissection Anterior cingulate cortex ACC"	"scvi"	0.959935769294827	0.0253153000537107	Inf	0.868328082527751	0.988643107982937	"family"
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi"	0.88934397482339	0.064773681361571	Inf	0.68869418058766	0.966885012147507	"family"
"Dissection Primary auditory cortexA1"	"scvi"	0.957591132268733	0.0267311543544743	Inf	0.861397585878805	0.98795729216175	"family"
"Dissection Primary somatosensory cortex S1"	"scvi"	0.961466733994587	0.0243867884058549	Inf	0.872895979946525	0.989089568071762	"family"
"Dissection Primary visual cortexV1"	"scvi"	0.952442052749455	0.0298150966595917	Inf	0.846444492763368	0.986442674731518	"family"
"Human Multiple Cortical Areas SMART-seq"	"scvi"	0.920643073217327	0.0480875773192414	Inf	0.7615273914075	0.976823376144829	"family"
"whole cortex"	"scvi"	0.970731558934089	0.018702364174009	Inf	0.901266201242478	0.991770014016085	"family"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"scvi"	0.968865174103784	0.0198565324233442	Inf	0.895448411422661	0.991232982550831	"family"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"scvi"	0.967375892655809	0.0207742435409157	Inf	0.890843681173352	0.990803409077195	"family"
"Dissection Angular gyrus AnG"	"seurat"	0.974541854132879	0.00862271274416555	Inf	0.950909213510585	0.986953669356949	"global"
"Dissection Anterior cingulate cortex ACC"	"seurat"	0.97258801651696	0.00926539852877156	Inf	0.947241551678296	0.98593818091308	"global"
"Dissection Dorsolateral prefrontal cortex DFC"	"seurat"	0.947964724618164	0.0171368803823609	Inf	0.902162370933686	0.972967362395463	"global"
"Dissection Primary auditory cortexA1"	"seurat"	0.974791528940723	0.00854028180955408	Inf	0.951379292667082	0.987083177524808	"global"
"Dissection Primary somatosensory cortex S1"	"seurat"	0.973743375210458	0.00888570721744794	Inf	0.949408598827428	0.986538934210867	"global"
"Dissection Primary visual cortexV1"	"seurat"	0.975403160315785	0.00833852899742654	Inf	0.952530458799183	0.987400666893216	"global"
"Human Multiple Cortical Areas SMART-seq"	"seurat"	0.95755883187145	0.014120056461851	Inf	0.919479241342623	0.978059670424807	"global"
"whole cortex"	"seurat"	0.972147603138729	0.00940967894183956	Inf	0.946417516005197	0.985708780758991	"global"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.975082762183595	0.00844418978363726	Inf	0.951927477426919	0.987234317721239	"global"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.972405394194919	0.00932529696541572	Inf	0.946899571986142	0.985843125530001	"global"
"Dissection Angular gyrus AnG"	"scvi"	0.981362509192491	0.00635471432220061	Inf	0.9638339407363	0.990479440959812	"global"
"Dissection Anterior cingulate cortex ACC"	"scvi"	0.978566901696814	0.00728688652347618	Inf	0.95852098137616	0.989035872885155	"global"
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi"	0.957720104979985	0.0140656784050095	Inf	0.919784133730363	0.978141620280485	"global"
"Dissection Primary auditory cortexA1"	"scvi"	0.980911700492345	0.00650535521023562	Inf	0.962975436841797	0.99024688371264	"global"
"Dissection Primary somatosensory cortex S1"	"scvi"	0.981510965046805	0.00630505743257648	Inf	0.964116885873117	0.990555982919629	"global"
"Dissection Primary visual cortexV1"	"scvi"	0.974314960512083	0.0086939873835943	Inf	0.950495478966057	0.986832289283063	"global"
"Human Multiple Cortical Areas SMART-seq"	"scvi"	0.958914227873336	0.0136853630606687	Inf	0.921962735739745	0.97877165692388	"global"
"whole cortex"	"scvi"	0.986223091082589	0.00472120091305021	Inf	0.973138884682937	0.992979880980204	"global"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"scvi"	0.98492893079459	0.00515772416263071	Inf	0.970652940869354	0.992315291278884	"global"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"scvi"	0.984664346227915	0.00524682207942001	Inf	0.970145477813808	0.99217931003102	"global"
"Dissection Angular gyrus AnG"	"seurat"	0.883130226693846	0.0604439361239204	Inf	0.705700333302657	0.959698583545368	"subclass"
"Dissection Anterior cingulate cortex ACC"	"seurat"	0.879292309165747	0.0621574809032184	Inf	0.698028415014816	0.958256198622118	"subclass"
"Dissection Dorsolateral prefrontal cortex DFC"	"seurat"	0.784568106985235	0.0989820151023389	Inf	0.536110802666335	0.919847881247161	"subclass"
"Dissection Primary auditory cortexA1"	"seurat"	0.875288443245159	0.063926798227489	Inf	0.690130965001004	0.956742690925297	"subclass"
"Dissection Primary somatosensory cortex S1"	"seurat"	0.872423336493109	0.0651812413652672	Inf	0.68454568225655	0.955653988247178	"subclass"
"Dissection Primary visual cortexV1"	"seurat"	0.87710701487343	0.0631254516412752	Inf	0.69370484692131	0.957431219622125	"subclass"
"Human Multiple Cortical Areas SMART-seq"	"seurat"	0.81494028923284	0.0883192243324304	Inf	0.582887387766453	0.932782276181435	"subclass"
"whole cortex"	"seurat"	0.881712460616724	0.0610788598186186	Inf	0.702854826543234	0.959166645628116	"subclass"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.888662347915356	0.0579436256238898	Inf	0.716938701645924	0.961763309706448	"subclass"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.884007490763698	0.0600497992460357	Inf	0.707468342275997	0.960027102559582	"subclass"
"Dissection Angular gyrus AnG"	"scvi"	0.911479431038991	0.0472513482829634	Inf	0.765669993483329	0.970103093010167	"subclass"
"Dissection Anterior cingulate cortex ACC"	"scvi"	0.910303086956429	0.0478174175594755	Inf	0.763059946116391	0.969679838966839	"subclass"
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi"	0.8538205546245	0.0730917610813296	Inf	0.649557114091595	0.948469666883244	"subclass"
"Dissection Primary auditory cortexA1"	"scvi"	0.907021409566848	0.0493882202557304	Inf	0.7558359911808	0.96849537520914	"subclass"
"Dissection Primary somatosensory cortex S1"	"scvi"	0.90820598661878	0.0488227259437693	Inf	0.758433522837625	0.968923622047024	"subclass"
"Dissection Primary visual cortexV1"	"scvi"	0.901609910282948	0.0519506714059696	Inf	0.744108615147119	0.966529578839647	"subclass"
"Human Multiple Cortical Areas SMART-seq"	"scvi"	0.842295223353584	0.0777900415414907	Inf	0.62892657041698	0.943916552000585	"subclass"
"whole cortex"	"scvi"	0.923251947269124	0.0414967367342534	Inf	0.792416328626093	0.974299188629148	"subclass"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"scvi"	0.925733775311834	0.0402628188944158	Inf	0.798204128890237	0.975174694991097	"subclass"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"scvi"	0.920200611741267	0.0430038964439237	Inf	0.785372773432548	0.973218465496124	"subclass"
